RecordId,RecordType,Status,Parent,Reference,AccessCondition,Administrative Context,Arrangement,Copies Information,Custodial History,Date Range,Decimal Latitude,Decimal Longitude,Description Language,Description Language Code,Description Script,Description Script Code,End Date,Extent & Format,External Ref,Imm Source Acq,Legal Status,Level of Detail,Languages,Language Codes,Scripts,Script Codes,Material Type,MDARK,Note,ObjectURL,OrigInfo,Physical Characteristics,Project Collection,Publication Note,Related Material,Scope & Content,Sibling Order,Start Date,Title,User Conditions,Creators,Related Names,Related Places,Related Subjects,Related Archive Descriptions,,,Logical label
040-002360530,File,Published,036-002360461,EAP310/1/1/69,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 463 TIFF images; 13.1GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x000218,,http://eap.bl.uk/database/overview_item.a4d?catId=19446;r=25167,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains Bhikshunipratimokshasutra, the root text on the rules for ordained nuns and Vinayavibhanga, one of the four main texts on discipline in the Sarvastivada school. The volume contains the detailed lists of the rules of nuns and the stories of how the rules were enacted. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 463 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: TaScript(s) of material: Tibetan dBu can script.",69,1650,'Dul ba Ta,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360468,File,Published,036-002360461,EAP310/1/1/7,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 439 TIFF images; 10.1GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x0001da,,http://eap.bl.uk/database/overview_item.a4d?catId=19384;r=2683,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains tantric literature such as Aryanilambaradharavajrapanirudrabitribinatantra. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume of 444 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: JaScript(s) of material: Tibetan dBu can script.",7,1650,rGyud 'bum Ja,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360531,File,Published,036-002360461,EAP310/1/1/70,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 447 TIFF images; 12.6GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x000219,,http://eap.bl.uk/database/overview_item.a4d?catId=19447;r=14784,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains Vinayakshudrakavastu, one of the four main texts on discipline in the Sarvastivada school. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 447 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: ThaScript(s) of material: Tibetan dBu can script.",70,1650,'Dul ba Tha,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360532,File,Published,036-002360461,EAP310/1/1/71,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 489 TIFF images; 13.8GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x00021a,,http://eap.bl.uk/database/overview_item.a4d?catId=19448;r=25941,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains Vinayakshudrakavastu, one of the four main texts on discipline in the Sarvastivada school. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 489 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: DaScript(s) of material: Tibetan dBu can script.",71,1650,'Dul ba Da,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360533,File,Published,036-002360461,EAP310/1/1/72,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 452 TIFF images; 10.4GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x00021b,,http://eap.bl.uk/database/overview_item.a4d?catId=19449;r=870,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains Vinayauttaragrantha, one of the four main texts on discipline in the Sarvastivada school. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 452 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: NaScript(s) of material: Tibetan dBu can script.",72,1650,'Dul ba Na,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360534,File,Published,036-002360461,EAP310/1/1/73,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 446 TIFF images; 12.6GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x00021c,,http://eap.bl.uk/database/overview_item.a4d?catId=19450;r=27869,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains Vinayauttaragrantha, one of the four main texts on discipline in the Sarvastivada school. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 446 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: PaScript(s) of material: Tibetan dBu can script.",73,1650,'Dul ba Pa,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360535,File,Published,036-002360461,EAP310/1/1/74,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 140 TIFF images; 3.96GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x00021d,,http://eap.bl.uk/database/overview_item.a4d?catId=19451;r=7814,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains the Perfection of Wisdom in 10,000 verses. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 140 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: GaScript(s) of material: Tibetan dBu can script.",74,1650,Khri pa Ga,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360536,File,Published,036-002360461,EAP310/1/1/75,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 435 TIFF images; 10GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x00021e,,http://eap.bl.uk/database/overview_item.a4d?catId=19452;r=23592,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains continuation of the Perfection of Wisdom in 10,000 verses. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 413 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: NgaScript(s) of material: Tibetan dBu can script.",75,1650,Khri pa Nga,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360537,File,Published,036-002360461,EAP310/1/1/76,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 540 TIFF images; 12.4GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x00021f,,http://eap.bl.uk/database/overview_item.a4d?catId=19453;r=3465,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains Buddha Avatamsakasutra. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 540 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: KaScript(s) of material: Tibetan dBu can script.",76,1650,Phal chen Ka,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360538,File,Published,036-002360461,EAP310/1/1/77,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 527 TIFF images; 12.1GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x000220,,http://eap.bl.uk/database/overview_item.a4d?catId=19454;r=11385,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains Buddha Avatamsakasutra. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 527 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: KhaScript(s) of material: Tibetan dBu can script.",77,1650,Phal chen Kha,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360539,File,Published,036-002360461,EAP310/1/1/78,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 542 TIFF images; 15.3GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x000221,,http://eap.bl.uk/database/overview_item.a4d?catId=19455;r=5210,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains Buddha Avatamsakasutra. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 542 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: GaScript(s) of material: Tibetan dBu can script.",78,1650,Phal chen Ga,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360540,File,Published,036-002360461,EAP310/1/1/79,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 505 TIFF images; 14.3GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x000222,,http://eap.bl.uk/database/overview_item.a4d?catId=19456;r=18111,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains Buddha Avatamsakasutra. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 505 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: NgaScript(s) of material: Tibetan dBu can script.",79,1650,Phal chen Nga,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360469,File,Published,036-002360461,EAP310/1/1/8,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 398 TIFF images; 9.8GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x0001db,,http://eap.bl.uk/database/overview_item.a4d?catId=19385;r=5648,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains tantric literature such as Sarvatathagatatattvasamgrahasutra. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume of 398 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: NyaScript(s) of material: Tibetan dBu can script.",8,1650,rGyud 'bum Nya,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360541,File,Published,036-002360461,EAP310/1/1/80,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 423 TIFF images; 11.9GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x000223,,http://eap.bl.uk/database/overview_item.a4d?catId=19457;r=28254,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains the Perfection of Wisdom in 18,000 verses. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 423 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: KaScript(s) of material: Tibetan dBu can script.",80,1650,Khri brgyad stong pa Ka,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360542,File,Published,036-002360461,EAP310/1/1/81,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 446 TIFF images; 12.6GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x000224,,http://eap.bl.uk/database/overview_item.a4d?catId=19458;r=30157,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains the Perfection of Wisdom in 18,000 verses. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 446 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: KhaScript(s) of material: Tibetan dBu can script.",81,1650,Khri brgyad stong pa Kha,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360543,File,Published,036-002360461,EAP310/1/1/82,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 307 TIFF images; 8.69GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x000225,,http://eap.bl.uk/database/overview_item.a4d?catId=19459;r=18738,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains the Perfection of Wisdom in 18,000 verses. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 307 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: GaScript(s) of material: Tibetan dBu can script.",82,1650,Khri brgyad stong pa Kha,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360544,File,Published,036-002360461,EAP310/1/1/83,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 375 TIFF images; 8.63GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x000226,,http://eap.bl.uk/database/overview_item.a4d?catId=19460;r=32485,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains Ratnakutasutra. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 375 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: KaScript(s) of material: Tibetan dBu can script.",83,1650,dKon brtsegs Ka,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360545,File,Published,036-002360461,EAP310/1/1/84,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 398 TIFF images; 11.2GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x000227,,http://eap.bl.uk/database/overview_item.a4d?catId=19461;r=10449,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains Ratnakutasutra. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 398 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: KhaScript(s) of material: Tibetan dBu can script.",84,1650,dKon brtsegs Kha,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360546,File,Published,036-002360461,EAP310/1/1/85,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 429 TIFF images; 9.88GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x000228,,http://eap.bl.uk/database/overview_item.a4d?catId=19462;r=6211,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains Ratnakutasutra. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 429 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: GaScript(s) of material: Tibetan dBu can script.",85,1650,dKon brtsegs Ga,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360547,File,Published,036-002360461,EAP310/1/1/86,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 425 TIFF images; 10.GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x000229,,http://eap.bl.uk/database/overview_item.a4d?catId=19463;r=30993,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains Ratnakutasutra. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 425 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: NgaScript(s) of material: Tibetan dBu can script.",86,1650,dKon brtsegs Nga,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360548,File,Published,036-002360461,EAP310/1/1/87,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 438 TIFF images; 10.GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x00022a,,http://eap.bl.uk/database/overview_item.a4d?catId=19464;r=18185,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains Ratnakutasutra. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 438 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: CaScript(s) of material: Tibetan dBu can script.",87,1650,dKon brtsegs Ca,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360549,File,Published,036-002360461,EAP310/1/1/88,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 425 TIFF images; 9.79GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x00022b,,http://eap.bl.uk/database/overview_item.a4d?catId=19465;r=30667,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains various short sutras on the Perfection of Wisdom. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 425 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: KaScript(s) of material: Tibetan dBu can script.",88,1650,Shes rab sna tshogs,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360550,File,Published,036-002360461,EAP310/1/1/89,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 524 TIFF images; 14.8GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x00022c,,http://eap.bl.uk/database/overview_item.a4d?catId=19466;r=17527,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains the teachings on the Perfection of Wisdom in 100,000 verses. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 524 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: KaScript(s) of material: Tibetan dBu can script.",89,1650,'Bum Ka,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360470,File,Published,036-002360461,EAP310/1/1/9,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 385 TIFF images; 10.8GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x0001dc,,http://eap.bl.uk/database/overview_item.a4d?catId=19386;r=6622,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains tantric literature such as Sarvarahasayonamatantraraja. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume of 385 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: TaScript(s) of material: Tibetan dBu can script.",9,1650,rGyud 'bum Ta,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360551,File,Published,036-002360461,EAP310/1/1/90,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 534 TIFF images; 12.3GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x00022d,,http://eap.bl.uk/database/overview_item.a4d?catId=19467;r=11022,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains the teachings on the Perfection of Wisdom in 100,000 verses. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 534 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: KhaScript(s) of material: Tibetan dBu can script.",90,1650,'Bum Kha,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360552,File,Published,036-002360461,EAP310/1/1/91,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 509 TIFF images; 11.7GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x00022e,,http://eap.bl.uk/database/overview_item.a4d?catId=19468;r=16758,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains the teachings on the Perfection of Wisdom in 100,000 verses. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 509 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: GaScript(s) of material: Tibetan dBu can script.",91,1650,'Bum Ga,,,,"Bhutan, Asia, Unspecified",,,,,
