RecordId,Parent,Reference,Start Date,End Date,Language Codes,Script Codes,MDARK,Scope & Content,Width (cm),Height (cm),Sibling Order,Title,Newari Date,Fragmentary,rKTs Number,Topic/Related Deity,Genre,IdenticalTo
040-002851349,032-002851328,EAP676/14/21,1809,1809,san,Newa,ark:/81055/vdc_100023625596.0x0000b6,This is a 'Grahamātrikā Dhāraṇī' manuscript. It is written in Sanskrit . It looks quite old but it was written in the tenth century Nepal Samvat. Its folios are of 25.5 x 6.5 in size.,25.5,6.5,21,Ārya Grahamātrikā nāma Dhāraṇī,NS 929,,K654-K655?,,T933,
040-002851350,032-002851328,EAP676/14/22,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000b7,This is a 'Tārā Stotra' manuscript. It has  colourful writing. Its text is in Sanskrit  written in 'Pracalit Newārī' script. It is readable. Folio size of this manuscript is 23 x 7 cm.,23,7,22,Ārya Tārā Bhaṭṭārikā yā Namastottara śatakaṃ,,,K721?,T619,,
040-002851351,032-002851328,EAP676/14/23,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000b8,This is 'Cakrasamvara dhāraṇī'. It is composed in Sanskrit . Its folios are partly damaged. Its size is 23 x 7 cm.,23,7,23,Cakrasaṃvarasya Mūlamantra Dhāraṇī,,,,T423,T933,
040-002851352,032-002851328,EAP676/14/24,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000b9,This is the Dhāraṇī of Goddess Tārā. This is a partly damaged old manuscript. It has unfair writing. Its size is 20 x 7.5 cm.,20,7.5,24,Ārya Tārā nāma Dhāraṇī,,,K724?,T619,T933,
040-002851353,032-002851328,EAP676/14/25,1946,1946,san,Newa,ark:/81055/vdc_100023625596.0x0000ba,"This is a complete manuscript of 'Bagalāmūkhī Stotra. It was composed in the eleventh century of Nepal Samvat. Folios are partly damaged. However, text is intact.",,,25,Bagalāmūkhī Stotra,NS 1066,,,,T67,
040-002851354,032-002851328,EAP676/14/26,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000bb,This is the Stotra of Bhagavatī. This one of the important Hindu texts that have been used by the Hindu community for religious purposes. Its language is Sanskrit  written in Pracalit Newārī script.,,,26,Durgāsataka Bhagavatī Gītā,,,,T1KG89007,,
040-002851355,032-002851328,EAP676/14/27,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000bc,This is the Dhāraṇī of Caṇḍamahāroṣaṇa written in Sanskrit. This manuscript is in Pracalit Newārī script. Its folios are partly damaged.,,,27,Caṇḍamahāroṣaṇa Bali nāma Dhāraṇī,,,,,T933,
040-002851356,032-002851328,EAP676/14/28,1950,1950,san,Newa,ark:/81055/vdc_100023625596.0x0000bd,"This is Kālacakra Dhāraṇī. It is a Dhāraṇī of a Tantric deity. It is written on the modern brown paper which is different from traditional manuscript writing paper. Therefore, it is quite modern. The condition of manuscript is good but writing is neither smooth nor artistic. It was written in the eleventh century Nepal Samvat. The manuscript folios are of 11.5 x 8 cm in size.",11.5,8,28,Acalavīra Śrī Guhya Kālacakra nāma Hṛdaya Dhāraṇī,NS 1070,,,T74,T933,
040-002851357,032-002851328,EAP676/14/29,1904,1904,san,Newa,ark:/81055/vdc_100023625596.0x0000be,This is a 'Bhāvanā' manuscript.It is in Sanskrit  written in 'Pracalit Newārī' script. The status of manuscript is good. This manuscript is of 20 x 9 in size.,20,9,29,Nityācāra Mānasī Bhāvanā,NS 1024,,,,,
040-002851331,032-002851328,EAP676/14/3,1600,1999,san;new,Deva,ark:/81055/vdc_100023625596.0x0000a4,This is a Stotra manuscript written in Sanskrit  and Newārī languages. Main text is in Sanskrit  and its explanations are in vernacular Newārī. Devnāgarī is the script of this book. This Stotra is very popular Stotra in Nepal. Its status is very good. Folios are of 21.5 x 9 cm in size.,21.5,9,3,Āryatārā Bhaṭṭārikā namastottara Śatakaṃ,,,,T619,T67,
040-002851358,032-002851328,EAP676/14/30,1921,1921,san,Newa,ark:/81055/vdc_100023625596.0x0000bf,This is a Prajñāpāramitā Stotra. It is very brief. Its folios are partly damaged. It is a Sanskrit  Stotra written in Pracalit Newārī script.Its size is 22.5 x 7.5 cm.,22.5,7.5,30,Prajñāpāramitā Ekaviṃśati Stotra,NS 1041,,K1114??,,T67,
040-002851359,032-002851328,EAP676/14/31,1946,1946,san,Newa,ark:/81055/vdc_100023625596.0x0000c0,"This Dhāraṇī manuscript is badly written, however, text is in tact. It is in Sanskrit  written in Pracalit Newārī script. It was written in the eleventh century of Nepal era.",,,31,Śanicara nāma Dhāraṇī,NS 1066,,,,T933,
040-002851360,032-002851328,EAP676/14/32,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000c1,"This is a Sūtra manuscript written in Pracalit Newārī script. It is in Sanskrit. It has fine writing. However, the very first folio has been missing.",,,32,Aparimitā Mahāyāna Sūtra,,,?,,,
040-002851361,032-002851328,EAP676/14/33,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000c2,This is an Aparājitā Dhāraṇī manuscript. It is in the Pracalit Newārī script. This Dhāraṇī is in Sanskrit. Folios are fine and are in good condition. It was written in the eleventh century of Nepal era. It was copied by a Vajrācārya of Hena Varṇa Mahāvihāra. Its size is 23.5 x 7 cm.,23.5,7,33,Ārya Tathagatoṣṇīṣa Sitātapatrānām āparajitā Mahāvidyārājñī,,,,,,
040-002851362,032-002851328,EAP676/14/34,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000c3,This is a Bhāvanā manuscript in Sanskrit  written in Pracalit Newārī. It is in a good condition. First folio is missing in this manuscript.,,,34,Nityācāra Mānasī Bhāvanā Śrīmatkuliśvara Bhāvanā Guhya,,,,,,
040-002851363,032-002851328,EAP676/14/35,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000c4,This is the Praṇidhāna manuscript. Its language is Sanskrit  and script is Pracalit Newārī. Its writing is fair and is in very good condition. It has complete folios.,,,35,Bhadracarī Praṇīdhāna Ratnarāja,,,,,,
040-002851364,032-002851328,EAP676/14/36,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000c5,This is a Dhāraṇī manuscript of a Tantric deity called Kālacakra. It is written in Sanskrit  with Pracalit Newārī script. Some folios in this manuscript are missing. Folios are partly damaged too.,,,36,Kālacakra Guhya Hṛdaya Dhāraṇī,,,,T74,T933,
040-002851365,032-002851328,EAP676/14/37,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000c6,This is the Dhāraṇī of Gaṇeśa written in Pracalit Newārī script. It is an old and partly damaged. A simple sketch of Ganeśa is depicted on the first folio of the manuscript.,,,37,Gaṇapatī Hṛdaya Dhāraṇī,,,,T1852,T933,
040-002851366,032-002851328,EAP676/14/38,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000c7,This is the manuscript of Mahādāna Vākyāvalī. It is a Gāthā manuscript. Its text is in Sanskrit  and is written in Pracalit Newārī.,,,38,Mahādāna Vākya,,,,,,
040-002851367,032-002851328,EAP676/14/39,1916,1916,san,Newa,ark:/81055/vdc_100023625596.0x0000c8,"This is the Mañjuśrī Dhāraṇī written in Pracalit Newārī. It was written in the eleventh century of Nepal Samvat. This manuscript is in very good condition, however, its writing is rough and careless. The size of the folio is 19 x 8.5 cm in size.",19,8.5,39,Mañjuśrī Pāṭha Yayegu Dhāraṇī,NS 1036,,,T69,T933,
040-002851332,032-002851328,EAP676/14/4,1600,1999,san,Deva,ark:/81055/vdc_100023625596.0x0000a5,It is the collection of miscellaneous Dhāraṇīs. It is the Mantra recited to pray deities. It is  in Sanskrit  written with Devanāgarī script. It is a Buddhist text. Its folio size is 21.5 x 9 cm.,21.5,9,4,Vividha Dhāraṇīs,,,,,T933,
040-002851368,032-002851328,EAP676/14/40,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000c9,This manuscript is the Stotra of Cvāskāminī. It is composed in Sanskrit  and written in Pracalit Newārī script. Its paper is in good condition. Since the first folio is missing it is incomplete.,,,40,Cvāskāminī Ekaviṃśati Stotra,,,,,T67,
040-002851369,032-002851328,EAP676/14/41,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000ca,"This is the Stotra of Tārā. It is written in Pracalit Newārī script. This Stotra is in Sanskrit. This is in the good condition, however, some folios are partly damaged. Its writing is rough.Some folios of this manuscript are missing.",,,41,Tārā Stotra,,,K438,T619,T67,
040-002851370,032-002851328,EAP676/14/42,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000cb,"It is a Stotra manuscript related to Vajrasattva, the prime deity in Vajrayāna Buddhism. It is in Sanskrit  written with Pracalit Newārī script. Its status is quite good. Some folios are partly damaged. The folio size of this manuscript is 23 x 7 cm.",23,7,42,Vajrasattva Kāyesya Tathāgata Krāta Vyāpta,,,,T452,T67,
040-002851371,032-002851328,EAP676/14/43,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000cc,"This is a manuscript that depicts the Mantra of Vajranairātmā. This mantra is written in Pracalit Newārī script. Its language is Sanskrit . Although certain folios are partly damaged, text in the manuscript folios is intact.",,,43,Vajranairatmā Devī Hṛdaya Mantra,,,,,,
040-002851372,032-002851328,EAP676/14/44,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000cd,"This is a manuscript dealing with Samādhī. It is in Sanskrit  and written in Pracalit Newārī script. It is in good condition, but some folios are partly damaged. The first folio of this manuscript is missing.",,,44,Mahāmegha Samādhi Varṣā Parṇa,,,,,,
040-002851373,032-002851328,EAP676/14/45,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000ce,This is the fragment of Hevajra Tantra. This is in Sanskrit  written with Pracalit Newārī script. Its condition is alright. All the folios except folios number 2 and 3 are missing. Its size is 18 x 6 cm.,18,6,45,Hevajra Fragments@en,,x,K417,,,
040-002851374,032-002851328,EAP676/14/46,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000cf,This is the Dharaṇī of Mahiṣasaṁvara. This one folio fragment is in Sanskrit  language and Pracalit Newārī script. One part of the end folio is in tact and rest are missing. Its size is 22.5 x 7 cm.,22.5,7,46,Mahiṣasamvara Hṛdaya nāma Dhāraṇī,,x,,,T933,
040-002851375,032-002851328,EAP676/14/47,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000d0,This is a Dhāraṇī manuscript dealing with the Mantra of Avalokieśvara Bodhisattva. It has only one folio extant. It is in Sanskrit  written with Pracalit Newārī script. The very first folio has been missing.,,,47,Abhayaṅkari nāma Dhāraṇī,,,,T106,T933,
040-002851376,032-002851328,EAP676/14/48,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000d1,Only one folio of this manuscript is extant but rest are missing. It is written in Pracalt Newārī script. The language of the text is Sanskrit. This text intends praising Buddhist deity Tārā.,,,48,Tārā Stotra,,,K438,T619,T67,
040-002851377,032-002851328,EAP676/14/49,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000d2,This is a folio with just a few words. It looks much older mauscript. Rest of the folios are missing.,,,49,Unknown Fragments@en,,x,,,,
040-002851333,032-002851328,EAP676/14/5,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000a6,It is the text of Dhāraṇī mantra. Its language is Sanskrit  and written in Devanāgarī script. Its size is 24.5 x 8.5 cm.,24.5,8.5,5,Grahamātrikā nāma Dhāraṇī,,,K654-K655?,,T933,
040-002851378,032-002851328,EAP676/14/50,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000d3,It is a Stotra manuscript. It has only one folio.It is written in Pracalit Newārī. It is in fairly good condition. Its size is 22.5 x 8 cm.,22.5,8,50,Mañjuśrī Mahā Bhaya,,,,T69,,
040-002851379,032-002851328,EAP676/14/51,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000d4,The first folio of this manuscript is in tact. It is a tantric text in Sanskrit . It script is pracalit Newārī. Its condition is fragile.,,,51,Caṇḍamahāroṣaṇa,,,K431?,,,
040-002851380,032-002851328,EAP676/14/52,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000d5,his is the Hāratī Devī mantra. It is in Sanskrit  written with Pracalit Newārī. Existing folios are partly damaged. It was copied in the eleventh century. Nepāl Samvat.,,,52,Hāratī Devī Mūlamantra,,,,,,
040-002851381,032-002851328,EAP676/14/53,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000d6,This is a Stotra manuscript in Sanskrit. Some folios are missing in this manuscript. Its language is Sanskrit. Its condition is good. Size of the folios is 19.5 x 7.5.,19.5,7.5,53,Śanicara yā Pāṭha,,,,,,
040-002851334,032-002851328,EAP676/14/6,1600,1999,new,Newa,ark:/81055/vdc_100023625596.0x0000a7,It is the text of traditional medical practice synchronised with religion. Its language is Newārī. It was written in 10th century of Nepal samvat. Folios are partly damaged. It has very nice paintings of various subject related deities. Altogether twenty two miniatures of deities are depicted in this manuscript. Paintings reflect early form of manuscript paintings. It has altogether twenty two images painted so far. It a folded book type manuscript. Folio size is 19 x 9 cm.,19,9,6,Auṣadhi Śāstra,NS 901,,,,,
040-002851335,032-002851328,EAP676/14/7,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000a8,This manuscript is a collection of Dhāraṇīs. It also has contents related to Bhāvanā and mantras as well. Its language is Sanskrit  written in 'Pracalit Newārī. It does not mention the date of  writing. It is in a very good condition. Its size 25.5 x 8.5 cm.,22.5,8.5,7,"Vividha Dhāraṇī [Bhavanā, Mantra, Dhāraṇī]",,,,,T933,
040-002851336,032-002851328,EAP676/14/8,1920,1920,san,Newa,ark:/81055/vdc_100023625596.0x0000a9,This is the manuscript of  'Dhvajāgra Keyuri'. Text of this manuscript is in Sanskrit. Script used to write this manuscript isPracalit Newārī. It was written in the eleventh century of Nepal Samvat. Folio edges  are partly damaged.,,,8,Dhvajāgra Keyuri nāma Dhāraṇī,NS 1040,,,,T933,
040-002851337,032-002851328,EAP676/14/9,1922,1922,san,Newa,ark:/81055/vdc_100023625596.0x0000aa,This is  collection of 'Seven Days Dhāraṇī each for a particular day. Its present status is fairly good. To read but over all condition of the manuscript is bad. Edges have been damaged. Its size is 17.5 x 8 cm.,17.5,8,9,Saptavāra Dhāraṇī,NS 1042,,,,T933,
040-002851383,032-002851382,EAP676/15/1,1600,1999,san;new,Newa,ark:/81055/vdc_100023625596.0x0000d8,This Sūtra discusses about the compassionate deeds of Avalokiteśvara. This manuscript is written in mixed language - Sanskrit  and Newārī. It is written in Pracalit Newārī  script. It is nicely written and is in very good condition. Its size is 41 x 14.5 cm,41,14.5,1,Guṇakāraṇḍavyūha Mahāyāna Sūtra Ratnarāja,,,K114? K116?,T106,,
040-002851385,032-002851384,EAP676/16/1,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000da,This is one of the nine Mahāyāna vaipulya Sūtras of eminence in Newār Buddhism. The theme of the Sūtra is the compassion of bodhisattva Avalokiteśvara. This Sanskrit  Sūtra is in very good condition. Its script is Pracalit Newārī. It also has two miniatures of the Bodhisattva. its folio size is 29 x 8 cm.,29,8,1,Ārya Kāraṇḍavyūha Mahāyāna Sūtra Ratnarāja,,,K114? K116?,T106,,
040-002851394,032-002851384,EAP676/16/10,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000e3,Thuis is a Mahāyāna Sūtra text in Sanskrit. It is written in 'Pracalit Newārī'. It has complete folios but is is the abridged version of the Sūtra. Its condition is good.,,,10,Suvarṇaprabhāsottama Sūtrendrarāja Vyāghri Parivarta,,,,,,
040-002851395,032-002851384,EAP676/16/11,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000e4,This Sukhāvatī gamana (Departure to Sukhāvatī) is a nicely written text. Its script is 'Devanāgarī and language is Sanskrit . It has complete folios.,,,11,Sapta Kumārikā Janma Bhuttva Shukhāvatī Gamana Prakaraṇa,,,,,,
040-002851396,032-002851384,EAP676/16/12,1600,1999,san,Deva,ark:/81055/vdc_100023625596.0x0000e5,It is an Avadāna story manuscript entitled Vimalāvadāna which is also called Vicitra ratnāvadāna. It is written in Devanāgarī. Its language is Sanskrit. It has fine writing. Its folios are of 30 x 10 cm in size.,30,10,12,Vimalāvadāna [Vicitra Ratnāvadāna],,,,,T1779,
040-002851397,032-002851384,EAP676/16/13,1600,1999,san,Deva,ark:/81055/vdc_100023625596.0x0000e6,This manuscript is in Sanskrit  written in Devanāgarī script. It is a Sūtra text it is in a very good condition. Its size is 30 x 10 cm.,30,10,13,Devaputroddvāra Prakaraṇaṃ,,,,,,
040-002851398,032-002851384,EAP676/16/14,1600,1999,san;new,Newa,ark:/81055/vdc_100023625596.0x0000e7,This is a collection of tantric Caryā songs sang during ''Dikṣā cosecration. It is in Sanskrit  and newāri languages. It has altogether fourteen caryā songs collected in this manuscript.It is written in pracalit Newāri script. It is a folded book of 20 x 9.5 cm in size.,20,9.5,14,Dikṣā Cacā,,,,,,
040-002851399,032-002851384,EAP676/16/15,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000e8,This ais a manuscript of folded book type. Its subject is fire ritual. Its language is Sanskrit  and script is Pracalit Newārī. Part of the folios are reworked with celluloid tapes. This manuscript has been frequently used to perform ritual. Its look is older.,,,15,Homa Kriyā,,,,,,
040-002851400,032-002851384,EAP676/16/16,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000e9,This manuscript is about the twelve holy Buddhist pilgrimages of Kathmandu valley. This is a ritual text that discusses about the procedures of 'Nāga Pujā' and implemets required to perform Pujās in the holy sites. This is a folded book manuscript. Its size is 23.5 x 9.5 cm.,23.5,9.5,16,Dvādaśa Tirtha ya Sardāṃ (Nāga Pujā Vidhi),,,,,,
040-002851401,032-002851384,EAP676/16/17,1600,1999,san;new,Newa,ark:/81055/vdc_100023625596.0x0000ea,This is the book of Caryā songs. Songs collected in the text are tantric songs. It is in Sanskrit  and Newārī languages. It is written in Pracalit Newārī script. Text of this manuscript is intact but some folios are partly damaged. It has fourteen songs collected so far.It is a folded book of 25 x 11 in size.,25,11,17,Cacā Saphū,,,,,,
040-002851402,032-002851384,EAP676/16/18,1894,1894,san,Newa,ark:/81055/vdc_100023625596.0x0000eb,Aṣṭamī Vrata is performed in the name of Vasundharā. This manuscript decribes rules of the Vrata. It is in Sanskrit . The script of this text is Pracalit Newārī. It is the bound book type manuscript. Parts of the folios of this manuscripts are damaged.It was written in the 12th century of Nepal Samvat.,,,18,"Vasundharā Vrata Vidhāna, Aṣṭamī Vrata Kathā",NS 1014,,,,,
040-002851403,032-002851384,EAP676/16/19,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000ec,This is the manuscript of 'Fivefold worship of mahāyāna Buddhism. It is a 'Pujā Vidhi' text. It is a Sanskrit  text written in 'Pracalit Newārī'. It was copied by somebody indravajra Vajrācārya. It is a folded book manuscript of 20 x 9 cm in size.,20,9,19,Pañcopacāra Pujā,,,,,,
040-002851386,032-002851384,EAP676/16/2,1906,1906,san,Newa,ark:/81055/vdc_100023625596.0x0000db,This is a Dhāraṇī Sūtra of Mahāpratyaṅgīrā. It is popularly called the Pratyaṅgīrā Mahāvidyārajñī or Mahāvidyārajñī Dhāraṇī. This Sanskrit  manuscript is nicely composed and written. It was copied in Kwā Bahāl (Hiraṇya Varṇa Mahāvihāra) by somebody Ratna jyoti in the eleventh century of the Nepāl samvat. It is written in Pracalit Newārī script. Its size if 32 x 10.,32,10,2,Paramārthanāma Vinirgata Mahāpratyaṅgīrā Mahāvidyārājñī,NS  1026,,,T1KG89007,,
040-002851404,032-002851384,EAP676/16/20,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000ed,This is an anniversary ritual texts for deceased. Thus it is a ritual text in Sanskrit. It is written in Pracalit Newārī script. It is a folded book. Parts of the folios are slightly damaged. Its size is 18.5 x 8 cm.,18.5,8,20,Srāddha Vidhi,,,,,,
040-002851405,032-002851384,EAP676/16/21,1890,1890,san;new,Newa,ark:/81055/vdc_100023625596.0x0000ee,This manuscript has three different texts of eulogy and Pujā procedure. It was copied by somebody Svayambhū Vajra Vajrācārya. It is in Sanskrit  and Newārī languages. Its script is 'Pracalit Newārī'. It was written in the eleventh century Nepal Samvat. Its size is 21 x 8.5 cm.,21,8.5,21,"Māyā Cakra Stotra, Vajravārāhī Stotra, Cakra Pujā",NS 1010,,,,T67,
040-002851406,032-002851384,EAP676/16/22,1845,1845,san;new,Newa,ark:/81055/vdc_100023625596.0x0000ef,This is the text of fire ritual performed for the whole night. It is written in Sanskrit  and Newarī languages. Its script is 'Pracalit Newārī'. It is a folded book writtenin the tenth century of Nepal Samvat.Its folio size is 21 x 8.5,21,8.5,22,Ahorātra Yajña Vidhi,NS 965,,,,,
040-002851407,032-002851384,EAP676/16/23,1890,1890,san;new,Newa,ark:/81055/vdc_100023625596.0x0000f0,This manuscript is about the ritual procedures of the nine planets.it is in mixed language - Sanskrit  and Newārī. It was written in the eleventh century of Nepal era.Folios are partly damaged. It is a folded book of 20 x 7.5 in size.,20,7.5,23,Navagraha Pujā,NS 1010,,,,,
040-002851408,032-002851384,EAP676/16/24,1812,1812,san,Newa,ark:/81055/vdc_100023625596.0x0000f1,"This text is mainly about tantric consecration. However,one brief Stotra has been added at the end of this folded book. It was written by Guṇānanda, most probably the predecessor of 19th century great newār Buddhist scholar Amṛtānanda Bandya. The writing is good but folios are partly damaged. It was written in the tenth century of Nepal era.",,,24,"Guhyābhiśseka Vidhi, Daśa Krodha Stotra",NS 932,,,,T67,
040-002851409,032-002851384,EAP676/16/25,1600,1999,san;new,Newa,ark:/81055/vdc_100023625596.0x0000f2,This is a ritual text written in Sanskrit  and Newārī languages. Its script is ''Pracalit Newārī''. It is a folded book manuscript. Folios are partly damaged. Its folio size is 20.5 x 8 cm.,20.5,8,25,"Yonī Śodhana Vidhi, Ācārya Pujā Vidhi, Deva Pratiṣṭhā Vidhi",,,,,,
040-002851410,032-002851384,EAP676/16/26,1600,1999,nep,Deva,ark:/81055/vdc_100023625596.0x0000f3,This is a sory manuscript written in Nepali language. It is a folded book in Devanāgarī script. Its writing is good but folios are partly damaged.,,,26,Sātra Sen ko Kathā,,,,,,
040-002851411,032-002851384,EAP676/16/27,1915,1915,san,Deva,ark:/81055/vdc_100023625596.0x0000f4,The subject of this is the story of Dharmarāja. It highlights on various pertinent Buddhist practices and themes. The author of this manuscript is Vikramananda. It is written in Sanskrit  and devanāgarī. It is in a good condition. Its size is 24.5 x 13 cm. It was written in the eleventh century of nepal era.,24.5,13,27,Adbhūta Kūla Dīpa Dharmarāja Kathā,NS 1035,,,,,
040-002851412,032-002851384,EAP676/16/28,1600,1999,san;new,Newa,ark:/81055/vdc_100023625596.0x0000f5,It is a text that deals with the procedure of house purification after certain unauspicious occassions. It uses both Sanskrit  and Newārī languages. It is written in Pracalit Newārī script. Its size is 19 x 8 cm.  Folios are partly damaged.,19,8,28,Gṛha Suddhī,,,,,,
040-002851413,032-002851384,EAP676/16/29,1600,1999,new,Newa,ark:/81055/vdc_100023625596.0x0000f6,It is a book of Tantric initiation. Its language is Newārī. It is written in thin Nepali paper. It is a bound book type manuscript. Six Maṇḍala sketches are drawn in the manuscript. Its script is Pracalit Newārī. Each folio is of 24 x 15 cm in size.,24,15,29,Dikṣā ya Saphū,,,,,,
040-002851387,032-002851384,EAP676/16/3,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000dc,This is a popular protective Sūtra of Five protective deities. This is the Sūtra text written in Sanskrit  in Pracalit Newārī script. Its writing is very fine and is in good conditionŏlio size is 31 x 7.,31,7,3,Pañcarakṣā Sūtra,,,T1946,,T933,1
040-002851414,032-002851384,EAP676/16/30,1600,1999,new,Newa,ark:/81055/vdc_100023625596.0x0000f7,This manuscript discusses about miscellanous rituals. It is in Newārī language. This is a bound book type manuscript wrtten on machine made paper. It is partly damaged. The folio size is 25 x 17 cm.,25,17,30,Vividha Pujā Vidhi,,,,,,
040-002851415,032-002851384,EAP676/16/31,1836,1836,san,Newa,ark:/81055/vdc_100023625596.0x0000f8,Its title is unknown but it is a musical text. Various Buddhist religious songs and Bhajans are collected in it. It is in Sanskrit  and classical Newārī languages. It is written in Pracalit Newārī script. The folio size is 24 x 10.5 cm. It was written in the tenth century of Nepal era.,24,10.5,31,Unknown Ritual/Musical Text@en,NS 960,,,,,
040-002851388,032-002851384,EAP676/16/4,1838,1838,san,Newa,ark:/81055/vdc_100023625596.0x0000dd,"Durgatipariśodhana is a Sūtra text recited by the Newār Buddhism as part of death ritual. Its recitation is intended for liberation of the deceased. This Sūtra looks old. Some folios are partly damaged on the edges, however, text is intact. Its language is Sanskrit  and script used so far is Pracalit Newārī. This Sūtra was copied in Kwā bahāl by Purṇā Nanda in the tenth century Nepal Samvat. Its writing is very fine. This Sūtra is painted with a very nice image of Śākyamūnī on the first folio. Folio size is 30 x 9 cm.",30,9,4,Durgātipariśodhana Abhisamaya Sadhanaṃ,NS 958,,K591?,,,
040-002851389,032-002851384,EAP676/16/5,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000de,This Sūtra discusses about the compassionate deeds of Avalokiteśvara. This manuscript is written inSanskrit  with Pracalit Newārī script. It is nicely written and is in very good condition. It has fine writing. Its size is 36 x 10 cm,36,10,5,Guṇakāraṇḍavyūha Sūtrarāja,,,K114?,T106,,
040-002851390,032-002851384,EAP676/16/6,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000df,"Its an Avadāna text. Thus, it is a manuscript dealing with Buddhist story.Its lanaguage is Sanskrit  and script is Pracalit Newārī. Although its writing is very fine notes are added everywhere on the foliosṬhe size of this manuscript is 30 x 10 cm.",30,10,6,Poṣadhāvadānaṃ,,,,,,
040-002851391,032-002851384,EAP676/16/7,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000e0,"It is a ritual text. This is a text used to perform anniversary rituals for deceased. It is in Sanskrit  written in Pracalit Newārī script. Due to frequent use of the text, its folios are repaired with clluloid tapes.Its writing is very fine. It is a folded book. Its size is 22 x 10.",22,10,7,Ṣoḍasa Piṇḍa Vidhāna,,,,,,
040-002851392,032-002851384,EAP676/16/8,1600,1999,san;new,Newa,ark:/81055/vdc_100023625596.0x0000e1,It is a ''Pāpa mocana'' text. It is written in Sanskrit  and Newārī languagesŎne side is smeared with yellow substance. It is in the good condition. It is a folded ''Thyāsaphū''. Its size is 20 x 9.5 cm.,20,9.5,8,Pujā Vidhi,,,,,,
040-002851393,032-002851384,EAP676/16/9,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000e2,This is the text of a buddhist story of Viśvantara. It highlights on significance of generosity and merrit accumulated throughit. This manuscript is written in Sanskrit  using Pracalit Newārī script. Its writing is very fine. This manuscript has complete folios. its size is 30.5 x 10 cm.,30.5,10,9,Viśvantara Varṇana Kathā,,,,,,
040-002851417,032-002851416,EAP676/17/1,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000fa,This is the manuscript of Suvarṇaprabhāsa. Text is in Sanskrit  and written in Pracalit Newārī script. This manuscript is nicely written and is in very good condition.,,,1,Ārya Suvarṇaprabhāsottama Sūtrendrarāja,,,,,,
040-002851418,032-002851416,EAP676/17/2,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000fb,This Sūtra is very rare in Nepal. It is one of the 'Nine Vaipūlya Sūtras' that Newār people venerate to great extent. These Sūtras are recited time and again on various religious rituals and ceremonies. The manuscript here is written in Pracalit Newārī script in Sanskrit . Folios are smeared in yellow colour. It is very perfectly written and very beautiful.,,,2,Tathāgataguhyaka Sūtra,,,,,,
